P5,P10,P25,P50,P75,P90,P95
90.839,92.21,94.501,97.047,99.592,101.884,103.255
90.969,92.344,94.641,97.194,99.747,102.044,103.419
91.098,92.477,94.781,97.341,99.901,102.205,103.584
91.229,92.611,94.921,97.487,100.054,102.363,103.746
91.357,92.743,95.06,97.633,100.207,102.523,103.909
91.487,92.876,95.199,97.779,100.358,102.681,104.07
91.616,93.009,95.337,97.923,100.51,102.838,104.231
91.745,93.141,95.475,98.068,100.661,102.995,104.391
91.871,93.272,95.612,98.212,100.812,103.152,104.553
91.999,93.403,95.749,98.356,100.962,103.308,104.712
92.127,93.534,95.886,98.499,101.112,103.463,104.871
92.253,93.664,96.022,98.641,101.261,103.618,105.029
92.38,93.794,96.158,98.783,101.409,103.773,105.187
92.506,93.924,96.293,98.925,101.557,103.926,105.344
92.631,94.053,96.428,99.066,101.705,104.08,105.501
92.756,94.181,96.562,99.207,101.852,104.233,105.658
92.881,94.309,96.696,99.347,101.999,104.385,105.813
93.005,94.437,96.829,99.487,102.145,104.537,105.969
93.13,94.565,96.963,99.626,102.29,104.687,106.122
93.254,94.692,97.095,99.765,102.435,104.838,106.276
93.376,94.818,97.227,99.903,102.58,104.989,106.43
93.499,94.944,97.358,100.041,102.724,105.139,106.584
93.622,95.07,97.49,100.179,102.867,105.287,106.735
93.743,95.195,97.621,100.316,103.011,105.436,106.888
93.866,95.321,97.752,100.452,103.153,105.584,107.038
93.987,95.445,97.881,100.588,103.295,105.732,107.19
94.107,95.568,98.011,100.724,103.437,105.88,107.341
94.228,95.693,98.14,100.859,103.578,106.026,107.49
94.348,95.816,98.269,100.994,103.72,106.173,107.641
94.468,95.939,98.397,101.129,103.86,106.318,107.789
94.588,96.063,98.526,101.263,103.999,106.463,107.937
94.707,96.184,98.653,101.396,104.139,106.608,108.086
94.826,96.307,98.781,101.53,104.278,106.752,108.233
94.944,96.428,98.907,101.663,104.418,106.897,108.381
95.062,96.549,99.034,101.795,104.556,107.041,108.528
95.181,96.671,99.161,101.927,104.694,107.184,108.674
95.297,96.791,99.287,102.059,104.832,107.328,108.821
95.415,96.912,99.413,102.191,104.969,107.47,108.967
95.533,97.032,99.538,102.322,105.106,107.612,109.112
95.65,97.153,99.664,102.453,105.243,107.754,109.257
95.766,97.272,99.788,102.584,105.38,107.897,109.403
95.882,97.392,99.913,102.715,105.516,108.038,109.547
95.999,97.511,100.038,102.845,105.652,108.179,109.691
96.115,97.63,100.162,102.975,105.788,108.32,109.835
96.23,97.748,100.286,103.105,105.924,108.462,109.98
96.346,97.867,100.41,103.235,106.06,108.602,110.124
96.462,97.986,100.534,103.364,106.195,108.742,110.267
96.577,98.105,100.657,103.494,106.33,108.882,110.41
96.692,98.223,100.781,103.623,106.465,109.022,110.553
96.808,98.341,100.904,103.752,106.599,109.162,110.696
96.921,98.458,101.027,103.881,106.734,109.303,110.84
97.036,98.576,101.15,104.009,106.869,109.442,110.983
97.151,98.694,101.273,104.138,107.003,109.582,111.125
97.266,98.812,101.396,104.266,107.137,109.721,111.267
97.38,98.929,101.518,104.395,107.271,109.86,111.409
97.495,99.047,101.641,104.523,107.405,109.999,111.551
97.609,99.164,101.763,104.651,107.539,110.138,111.693
97.723,99.282,101.886,104.779,107.672,110.277,111.835
97.837,99.399,102.008,104.907,107.806,110.415,111.977
97.952,99.516,102.13,105.035,107.94,110.554,112.118
98.064,99.632,102.252,105.163,108.074,110.694,112.262
98.178,99.749,102.374,105.291,108.207,110.832,112.403
98.292,99.866,102.496,105.418,108.341,110.971,112.545
98.405,99.983,102.618,105.546,108.474,111.109,112.686
98.519,100.099,102.74,105.674,108.607,111.248,112.828
98.633,100.216,102.862,105.801,108.74,111.386,112.969
98.746,100.333,102.983,105.928,108.873,111.524,113.11
98.86,100.449,103.105,106.056,109.007,111.662,113.252
98.973,100.566,103.227,106.183,109.14,111.8,113.393
99.087,100.682,103.348,106.31,109.273,111.939,113.534
99.2,100.799,103.47,106.438,109.405,112.077,113.675
99.313,100.915,103.591,106.565,109.538,112.215,113.816
99.426,101.031,103.713,106.692,109.671,112.352,113.957
99.539,101.147,103.834,106.819,109.804,112.49,114.098
99.652,101.263,103.955,106.946,109.936,112.628,114.239
99.766,101.379,104.076,107.073,110.069,112.766,114.38
99.878,101.495,104.197,107.2,110.202,112.904,114.521
99.993,101.613,104.319,107.326,110.333,113.04,114.66
100.106,101.729,104.44,107.453,110.466,113.178,114.8
100.219,101.844,104.561,107.58,110.598,113.315,114.941
100.331,101.96,104.682,107.706,110.731,113.453,115.082
100.444,102.076,104.803,107.833,110.863,113.59,115.222
100.556,102.192,104.924,107.96,110.995,113.728,115.363
100.669,102.307,105.045,108.086,111.128,113.865,115.503
100.781,102.423,105.165,108.213,111.26,114.002,115.644
100.894,102.538,105.286,108.339,111.392,114.14,115.784
101.006,102.654,105.407,108.465,111.524,114.277,115.925
101.12,102.77,105.528,108.592,111.655,114.413,116.063
101.232,102.886,105.648,108.718,111.787,114.55,116.204
101.344,103.001,105.769,108.844,111.919,114.687,116.344
101.456,103.116,105.889,108.97,112.051,114.824,116.484
101.568,103.231,106.009,109.096,112.183,114.961,116.624
101.68,103.346,106.13,109.222,112.315,115.099,116.764
101.794,103.463,106.251,109.348,112.446,115.234,116.903
101.906,103.578,106.371,109.474,112.578,115.371,117.043
102.018,103.692,106.491,109.6,112.709,115.508,117.183
102.129,103.807,106.611,109.726,112.841,115.645,117.322
102.241,103.922,106.731,109.852,112.972,115.781,117.462
102.354,104.038,106.851,109.977,113.103,115.917,117.6
102.466,104.153,106.971,110.103,113.234,116.053,117.74
102.577,104.267,107.091,110.228,113.366,116.19,117.88
102.688,104.381,107.21,110.354,113.497,116.326,118.019
102.801,104.497,107.331,110.479,113.627,116.461,118.157
