P5,P10,P25,P50,P75,P90,P95
13.234,13.633,14.724,15.42,16.818,19.252,19.884
13.261,13.661,14.756,15.454,16.856,19.298,19.933
13.288,13.689,14.787,15.488,16.895,19.345,19.982
13.314,13.717,14.819,15.521,16.933,19.392,20.031
13.341,13.745,14.85,15.555,16.971,19.439,20.08
13.368,13.773,14.881,15.588,17.009,19.486,20.129
13.395,13.801,14.913,15.622,17.047,19.533,20.178
13.422,13.829,14.944,15.655,17.086,19.58,20.228
13.448,13.857,14.975,15.689,17.124,19.626,20.277
13.475,13.884,15.006,15.722,17.162,19.673,20.326
13.502,13.912,15.038,15.756,17.2,19.72,20.376
13.528,13.94,15.069,15.789,17.238,19.767,20.425
13.555,13.968,15.1,15.823,17.276,19.814,20.474
13.581,13.996,15.131,15.856,17.315,19.861,20.524
13.608,14.024,15.163,15.89,17.353,19.908,20.573
13.635,14.051,15.194,15.923,17.391,19.955,20.623
13.661,14.079,15.225,15.956,17.429,20.002,20.672
13.688,14.107,15.256,15.99,17.467,20.049,20.722
13.714,14.134,15.287,16.023,17.505,20.096,20.771
13.741,14.162,15.318,16.057,17.543,20.143,20.821
13.767,14.19,15.349,16.09,17.582,20.19,20.87
13.793,14.217,15.38,16.123,17.62,20.238,20.92
13.82,14.245,15.411,16.157,17.658,20.284,20.969
13.846,14.273,15.442,16.19,17.696,20.332,21.019
13.873,14.3,15.473,16.223,17.734,20.379,21.068
13.899,14.327,15.504,16.256,17.772,20.426,21.118
13.925,14.355,15.535,16.29,17.81,20.473,21.167
13.952,14.383,15.566,16.323,17.848,20.52,21.217
13.978,14.41,15.597,16.356,17.886,20.567,21.266
14.004,14.437,15.628,16.389,17.924,20.614,21.316
14.03,14.465,15.659,16.422,17.962,20.661,21.365
14.056,14.492,15.69,16.456,18,20.708,21.415
14.082,14.52,15.72,16.489,18.038,20.755,21.464
14.109,14.547,15.751,16.522,18.076,20.802,21.514
14.135,14.574,15.782,16.555,18.114,20.849,21.564
14.161,14.602,15.813,16.588,18.152,20.896,21.613
14.187,14.629,15.843,16.621,18.189,20.943,21.662
14.213,14.656,15.874,16.654,18.227,20.99,21.712
14.239,14.683,15.905,16.687,18.265,21.037,21.762
14.265,14.71,15.935,16.72,18.303,21.084,21.811
14.291,14.737,15.966,16.753,18.341,21.131,21.86
14.316,14.765,15.997,16.786,18.378,21.178,21.91
14.342,14.792,16.027,16.818,18.416,21.225,21.959
14.368,14.819,16.058,16.851,18.454,21.272,22.009
14.394,14.846,16.088,16.884,18.491,21.318,22.058
