P5,P10,P25,P50,P75,P90,P95
12.755,13.368,14.483,15.873,17.446,19.045,20.097
12.785,13.4,14.52,15.915,17.495,19.101,20.157
12.815,13.432,14.556,15.957,17.543,19.156,20.217
12.845,13.464,14.592,15.998,17.591,19.211,20.277
12.874,13.496,14.628,16.04,17.639,19.267,20.337
12.904,13.528,14.665,16.082,17.688,19.322,20.397
12.934,13.561,14.701,16.123,17.736,19.377,20.457
12.964,13.593,14.737,16.165,17.784,19.432,20.517
12.993,13.624,14.773,16.207,17.833,19.488,20.578
13.023,13.656,14.809,16.249,17.881,19.543,20.638
13.053,13.688,14.845,16.29,17.929,19.598,20.698
13.083,13.72,14.882,16.332,17.977,19.654,20.758
13.112,13.752,14.918,16.374,18.026,19.709,20.818
13.142,13.784,14.954,16.415,18.074,19.764,20.879
13.172,13.816,14.99,16.457,18.122,19.82,20.939
13.201,13.848,15.026,16.498,18.171,19.875,20.999
13.231,13.88,15.062,16.54,18.219,19.931,21.06
13.26,13.911,15.098,16.582,18.267,19.986,21.119
13.29,13.943,15.134,16.623,18.315,20.041,21.18
13.319,13.975,15.17,16.665,18.364,20.097,21.24
13.349,14.007,15.206,16.707,18.412,20.152,21.3
13.379,14.039,15.242,16.748,18.46,20.208,21.361
13.408,14.07,15.279,16.79,18.508,20.263,21.421
13.438,14.102,15.315,16.831,18.557,20.319,21.481
13.467,14.134,15.351,16.873,18.605,20.374,21.542
13.497,14.166,15.387,16.914,18.653,20.429,21.602
13.526,14.198,15.422,16.956,18.701,20.484,21.662
13.556,14.229,15.458,16.997,18.749,20.54,21.723
13.585,14.261,15.494,17.039,18.798,20.595,21.783
13.615,14.293,15.53,17.08,18.846,20.651,21.843
13.644,14.324,15.566,17.122,18.894,20.706,21.903
13.673,14.356,15.602,17.163,18.942,20.761,21.964
13.703,14.387,15.638,17.205,18.99,20.816,22.024
13.732,14.419,15.674,17.246,19.038,20.872,22.084
13.761,14.45,15.709,17.287,19.086,20.927,22.144
13.791,14.482,15.745,17.329,19.134,20.982,22.204
13.82,14.513,15.781,17.37,19.182,21.037,22.264
13.849,14.545,15.816,17.411,19.23,21.092,22.324
13.878,14.576,15.852,17.452,19.278,21.147,22.384
13.907,14.607,15.887,17.493,19.325,21.202,22.444
13.936,14.639,15.923,17.534,19.373,21.257,22.504
13.965,14.67,15.958,17.575,19.421,21.312,22.564
13.994,14.701,15.994,17.616,19.468,21.367,22.624
14.023,14.732,16.029,17.657,19.516,21.422,22.684
14.052,14.763,16.064,17.698,19.563,21.476,22.743
14.081,14.794,16.1,17.739,19.611,21.531,22.803
14.11,14.825,16.135,17.779,19.658,21.586,22.863
14.138,14.856,16.17,17.82,19.706,21.64,22.922
14.167,14.887,16.205,17.861,19.753,21.695,22.982
14.195,14.918,16.24,17.901,19.8,21.75,23.041
14.224,14.949,16.275,17.942,19.848,21.804,23.101
14.253,14.979,16.31,17.982,19.894,21.858,23.16
14.281,15.01,16.345,18.023,19.942,21.912,23.219
14.31,15.041,16.379,18.063,19.989,21.967,23.279
14.338,15.071,16.414,18.103,20.036,22.021,23.338
14.366,15.102,16.449,18.143,20.083,22.075,23.397
14.394,15.132,16.484,18.184,20.129,22.129,23.456
14.423,15.163,16.518,18.224,20.176,22.183,23.515
14.451,15.193,16.553,18.264,20.223,22.237,23.574
14.479,15.223,16.587,18.304,20.269,22.291,23.633
14.507,15.253,16.621,18.344,20.316,22.345,23.692
14.535,15.284,16.656,18.383,20.363,22.398,23.75
