P5,P10,P25,P50,P75,P90,P95
99.076,100.734,103.505,106.583,109.661,112.432,114.09
99.189,100.85,103.626,106.71,109.794,112.57,114.231
99.303,100.967,103.748,106.837,109.926,112.707,114.371
99.416,101.083,103.869,106.964,110.059,112.844,114.511
99.528,101.198,103.989,107.09,110.191,112.982,114.652
99.64,101.313,104.109,107.216,110.323,113.119,114.792
99.751,101.428,104.229,107.342,110.454,113.255,114.932
99.863,101.542,104.349,107.467,110.585,113.392,115.072
99.973,101.656,104.468,107.592,110.716,113.528,115.211
100.084,101.77,104.587,107.717,110.847,113.664,115.35
100.196,101.885,104.707,107.842,110.977,113.798,115.487
100.307,101.998,104.825,107.966,111.107,113.934,115.625
100.416,102.111,104.943,108.09,111.237,114.069,115.763
100.526,102.224,105.061,108.214,111.366,114.203,115.901
100.635,102.336,105.179,108.337,111.495,114.338,116.039
100.744,102.449,105.296,108.46,111.624,114.472,116.176
100.855,102.562,105.414,108.583,111.752,114.604,116.311
100.964,102.674,105.531,108.706,111.881,114.738,116.448
101.072,102.785,105.648,108.828,112.009,114.871,116.585
101.18,102.896,105.764,108.95,112.137,115.005,116.721
101.288,103.007,105.88,109.072,112.264,115.137,116.857
101.397,103.119,105.997,109.194,112.391,115.268,116.991
101.504,103.229,106.112,109.315,112.518,115.401,117.126
101.611,103.34,106.228,109.436,112.645,115.533,117.261
101.718,103.449,106.343,109.557,112.771,115.665,117.396
101.826,103.561,106.458,109.678,112.897,115.795,117.529
101.933,103.67,106.573,109.798,113.023,115.926,117.663
102.039,103.779,106.687,109.918,113.149,116.057,117.797
